,Name,EstablishmentType,Rating,NumReviews,Address,Cuisine,CostForTwo,City
159,Prague Restaurant,CASUAL DINING,3.9,25.0,450 Scarborough Golf Club Road,European,50.0,Scarborough
160,Ikki Sushi,CASUAL DINING,3.9,36.0,2328 Kingston Road,Japanese,40.0,Scarborough
161,Aunty Mary's Fish and Chips,QUICK BITES,3.7,35.0,3750 Lawrence Avenue E,British,,Scarborough
162,California Sandwiches,QUICK BITES,3.8,36.0,812 Warden Avenue,American,20.0,Scarborough
163,Destiny,CASUAL DINING,2.7,38.0,633 Silver Star Boulevard,Asian,35.0,Scarborough
164,Damas Grill House,CASUAL DINING,3.5,28.0,1795 Victoria Park Avenue,Mediterranean,,Scarborough
165,Full House Chinese Cuisine,CASUAL DINING,3.2,28.0,4188 Finch Avenue East,Chinese,25.0,Scarborough
166,Olde Stone Cottage Pub,CASUAL DINING,3.8,32.0,3750 Kingston Road,Bar Food,50.0,Scarborough
167,Kim Po Vietnamese Cuisine,CASUAL DINING,3.8,32.0,58 Redlea Avenue,Vietnamese,20.0,Scarborough
168,Fat Ninja Bite,CASUAL DINING,3.6,9.0,3517 Kennedy Road,Korean,25.0,Scarborough
169,Bâton Rouge Steakhouse & Bar,CASUAL DINING,2.8,33.0,520 Progress Avenue,Steakhousehouse,100.0,Scarborough
170,Royal Chinese Seafood Restraurant,CASUAL DINING,3.9,23.0,735 Middlefield Road,Chinese,25.0,Scarborough
171,House of Wong,CASUAL DINING,4.1,48.0,4601 Kingston Road,Chinese,40.0,Scarborough
172,Pho Dau Bo,CASUAL DINING,3.4,29.0,665 Markham Road,Vietnamese,30.0,Scarborough
173,The Queen's Head Pub,BAR,3.5,31.0,2555 Victoria Park Avenue,Bar Food,45.0,Scarborough
174,Grandeur Palace,CASUAL DINING,3.3,9.0,2301 Brimley Road,Chinese,25.0,Scarborough
175,Tropical Thai Cuisine,CASUAL DINING,3.9,33.0,993 Kingston Road,Thai,25.0,Scarborough
176,Thai One On,CASUAL DINING,3.4,31.0,1911 Ellesmere Road,Thai,45.0,Scarborough
177,Caribbean Wave,CASUAL DINING,3.9,29.0,875 Milner Avenue,Caribbean,35.0,Scarborough
178,Nicey's Take Out,QUICK BITES,3.6,25.0,"54A Morecambe Gate, Scarborough",Caribbean,15.0,Scarborough
179,Da Fu Seafood Cuisine,CASUAL DINING,2.8,24.0,5651 Steeles Avenue East,Chinese,35.0,Scarborough
180,Big Boy's Burgers,QUICK BITES,3.9,32.0,2851 Kingston Road,Fast Food,25.0,Scarborough
181,Charcoal Kebab House,CASUAL DINING,3.4,20.0,3256 Lawrence Avenue E,Chinese,35.0,Scarborough
182,Mamajoun,QUICK BITES,3.9,12.0,209 Ellesmere Road,Fast Food,15.0,Scarborough
183,Govardhan Thal,CASUAL DINING,3.3,25.0,840 Markham Road,Indian,25.0,Scarborough
184,Amigos Restaurant,CASUAL DINING,3.5,28.0,6091 Kingston Road,Mexican,60.0,Scarborough
185,The Fanzone Wings & Ribs,CASUAL DINING,3.7,18.0,1168 Kennedy Road,Bar Food,40.0,Scarborough
186,Double Ming,DESSERT PARLOR,3.8,22.0,4186 Finch Avenue East,Desserts,20.0,Scarborough
187,Sammy's Restaurant,CASUAL DINING,3.5,17.0,639 McCowan Road,American,45.0,Scarborough
